2023-09-21 18:41:19,059 INFO    MainThread:6834 [wandb_setup.py:_flush():76] Current SDK version is 0.15.10
2023-09-21 18:41:19,060 INFO    MainThread:6834 [wandb_setup.py:_flush():76] Configure stats pid to 6834
2023-09-21 18:41:19,060 INFO    MainThread:6834 [wandb_setup.py:_flush():76] Loading settings from /Users/nyashamasamba/.config/wandb/settings
2023-09-21 18:41:19,060 INFO    MainThread:6834 [wandb_setup.py:_flush():76] Loading settings from /Users/nyashamasamba/Projects/ml_pipelines_udacity/cd0581-building-a-reproducible-model-workflow-exercises-main/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/settings
2023-09-21 18:41:19,060 INFO    MainThread:6834 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-09-21 18:41:19,060 INFO    MainThread:6834 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-09-21 18:41:19,060 INFO    MainThread:6834 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'cd0581-building-a-reproducible-model-workflow-exercises-main/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/use_artifact.py', 'program': 'use_artifact.py'}
2023-09-21 18:41:19,060 INFO    MainThread:6834 [wandb_init.py:_log_setup():524] Logging user logs to /Users/nyashamasamba/Projects/ml_pipelines_udacity/cd0581-building-a-reproducible-model-workflow-exercises-main/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/run-20230921_184119-u0mw89z6/logs/debug.log
2023-09-21 18:41:19,060 INFO    MainThread:6834 [wandb_init.py:_log_setup():525] Logging internal logs to /Users/nyashamasamba/Projects/ml_pipelines_udacity/cd0581-building-a-reproducible-model-workflow-exercises-main/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/run-20230921_184119-u0mw89z6/logs/debug-internal.log
2023-09-21 18:41:19,060 INFO    MainThread:6834 [wandb_init.py:init():564] calling init triggers
2023-09-21 18:41:19,060 INFO    MainThread:6834 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {}
2023-09-21 18:41:19,060 INFO    MainThread:6834 [wandb_init.py:init():614] starting backend
2023-09-21 18:41:19,060 INFO    MainThread:6834 [wandb_init.py:init():618] setting up manager
2023-09-21 18:41:19,062 INFO    MainThread:6834 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-09-21 18:41:19,064 INFO    MainThread:6834 [wandb_init.py:init():624] backend started and connected
2023-09-21 18:41:19,067 INFO    MainThread:6834 [wandb_init.py:init():715] updated telemetry
2023-09-21 18:41:19,090 INFO    MainThread:6834 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2023-09-21 18:41:19,516 INFO    MainThread:6834 [wandb_run.py:_on_init():2220] communicating current version
2023-09-21 18:41:19,699 INFO    MainThread:6834 [wandb_run.py:_on_init():2229] got version response 
2023-09-21 18:41:19,699 INFO    MainThread:6834 [wandb_init.py:init():799] starting run threads in backend
2023-09-21 18:41:22,304 INFO    MainThread:6834 [wandb_run.py:_console_start():2199] atexit reg
2023-09-21 18:41:22,305 INFO    MainThread:6834 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-09-21 18:41:22,305 INFO    MainThread:6834 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-09-21 18:41:22,305 INFO    MainThread:6834 [wandb_run.py:_redirect():2144] Redirects installed.
2023-09-21 18:41:22,306 INFO    MainThread:6834 [wandb_init.py:init():840] run started, returning control to user process
2023-09-21 18:41:29,733 WARNING MsgRouterThr:6834 [router.py:message_loop():77] message_loop has been closed
